Entry Date,Exit Date,Type,Entry Price,Exit Price,Size,P&L,Holding Period (Days)
1995-01-27,1995-01-30,LONG,470.3902,468.5098,151.25,-285.83,3
1995-01-30,1995-01-31,SHORT,468.5098,470.4202,-153.24,-294.18,1
1995-01-31,1995-02-17,LONG,470.4202,481.9698,160.2,1848.73,17
1995-02-17,1995-02-22,SHORT,481.9698,485.0702,-171.84,-534.45,5
1995-02-22,1995-02-27,LONG,485.0702,483.8098,176.45,-224.11,5
1995-02-27,1995-02-28,SHORT,483.8098,487.3902,-184.26,-661.54,1
1995-02-28,1995-03-07,LONG,487.3902,482.1198,173.76,-917.48,7
1995-03-07,1995-03-10,SHORT,482.1198,489.5702,-145.62,-1086.38,3
1995-03-10,1995-05-18,LONG,489.5702,519.5798,137.6,4127.83,69
1995-05-18,1995-05-23,SHORT,519.5798,528.5902,-129.86,-1171.47,5
1995-05-23,1995-05-26,LONG,528.5902,523.6498,122.59,-606.92,3
1995-05-26,1995-05-31,SHORT,523.6498,533.4002,-120.74,-1178.53,5
1995-05-31,1995-06-09,LONG,533.4002,527.9398,104.29,-570.55,9
1995-06-09,1995-06-12,SHORT,527.9398,530.8802,-94.41,-278.6,3
1995-06-12,1995-07-19,LONG,530.8802,550.9798,94.85,1905.48,37
1995-07-19,1995-07-24,SHORT,550.9798,556.6302,-96.91,-548.65,5
1995-07-24,1995-08-11,LONG,556.6302,555.1098,94.67,-144.99,18
1995-08-11,1995-08-14,SHORT,555.1098,559.7402,-123.64,-573.89,3
1995-08-14,1995-08-23,LONG,559.7402,557.1398,123.87,-323.5,9
1995-08-23,1995-08-24,SHORT,557.1398,557.4602,-139.71,-46.32,1
1995-08-24,1995-09-21,LONG,557.4602,582.9998,134.8,3441.27,28
1995-09-21,1995-09-28,SHORT,582.9998,585.8702,-141.51,-407.85,7
1995-09-28,1995-10-02,LONG,585.8702,581.7198,122.59,-510.24,4
1995-10-02,1995-10-13,SHORT,581.7198,584.5002,-117.41,-327.83,11
1995-10-13,1995-10-16,LONG,584.5002,583.0298,118.97,-176.32,3
1995-10-16,1995-10-17,SHORT,583.0298,586.7802,-122.44,-460.64,1
1995-10-17,1995-10-25,LONG,586.7802,582.4698,125.96,-544.4,8
1995-10-25,1995-11-02,SHORT,582.4698,589.7202,-122.79,-891.76,8
1995-11-02,1995-12-18,LONG,589.7202,606.8098,105.32,1798.57,46
1995-12-18,1995-12-29,SHORT,606.8098,615.9302,-111.32,-1016.65,11
1995-12-29,1996-01-09,LONG,615.9302,609.4498,109.19,-708.9,11
1996-01-09,1996-01-24,SHORT,609.4498,619.9602,-92.71,-975.53,15
1996-01-24,1996-02-14,LONG,619.9602,655.5798,79.85,2843.15,21
1996-02-14,1996-02-22,SHORT,655.5798,658.8602,-81.68,-269.01,8
1996-02-22,1996-02-26,LONG,658.8602,650.4598,71.14,-598.51,4
1996-02-26,1996-03-05,SHORT,650.4598,655.7902,-66.04,-352.86,8
1996-03-05,1996-03-06,LONG,655.7902,651.9998,59.92,-227.88,1
1996-03-06,1996-03-26,SHORT,651.9998,652.9702,-60.73,-59.72,20
1996-03-26,1996-03-27,LONG,652.9702,648.9098,62.06,-252.81,1
1996-03-27,1996-04-01,SHORT,648.9098,653.7302,-60.69,-293.36,5
1996-04-01,1996-04-08,LONG,653.7302,644.2398,82.19,-781.07,7
1996-04-08,1996-04-23,SHORT,644.2398,651.5802,-82.06,-603.46,15
1996-04-23,1996-04-24,LONG,651.5802,650.1698,75.36,-107.27,1
1996-04-24,1996-04-25,SHORT,650.1698,652.8702,-74.41,-201.92,1
1996-04-25,1996-05-02,LONG,652.8702,643.3798,70.16,-666.71,7
1996-05-02,1996-05-10,SHORT,643.3798,652.0902,-92.31,-805.25,8
1996-05-10,1996-05-28,LONG,652.0902,672.2298,72.42,1457.51,18
1996-05-28,1996-06-05,SHORT,672.2298,678.4402,-72.32,-450.1,8
1996-06-05,1996-06-06,LONG,678.4402,673.0298,80.27,-435.39,1
1996-06-06,1996-06-24,SHORT,673.0298,668.8502,-77.17,321.51,18
1996-06-24,1996-06-26,LONG,668.8502,664.3898,86.79,-388.25,2
1996-06-26,1996-06-27,SHORT,664.3898,668.5502,-93.01,-388.2,1
1996-06-27,1996-07-05,LONG,668.5502,657.4398,97.35,-1082.85,8
1996-07-05,1996-08-01,SHORT,657.4398,650.0202,-87.45,647.71,27
1996-08-01,1996-08-13,LONG,650.0202,660.1998,46.09,468.57,12
1996-08-13,1996-08-14,SHORT,660.1998,662.0502,-74.16,-138.21,1
1996-08-14,1996-08-29,LONG,662.0502,657.3998,76.58,-357.13,15
1996-08-29,1996-09-09,SHORT,657.3998,663.7602,-103.56,-660.08,11
1996-09-09,1996-10-10,LONG,663.7602,694.6098,80.62,2486.07,31
1996-10-10,1996-10-11,SHORT,694.6098,700.6602,-92.15,-558.81,1
1996-10-11,1996-10-25,LONG,700.6602,700.9198,91.56,22.49,14
1996-10-25,1996-10-29,SHORT,700.9198,701.5002,-85.29,-50.7,4
1996-10-29,1996-10-30,LONG,701.5002,700.8998,83.8,-51.49,1
1996-10-30,1996-10-31,SHORT,700.8998,705.2702,-83.85,-367.64,1
1996-10-31,1996-12-03,LONG,705.2702,748.2798,83.32,3582.32,33
1996-12-03,1996-12-19,SHORT,748.2798,745.7602,-77.25,193.49,16
1996-12-19,1996-12-31,LONG,745.7602,740.7398,45.2,-227.57,12
1996-12-31,1997-01-03,SHORT,740.7398,748.0302,-51.14,-373.58,3
1997-01-03,1997-01-06,LONG,748.0302,747.6498,53.24,-21.05,3
1997-01-06,1997-01-07,SHORT,747.6498,753.2302,-53.2,-297.7,1
1997-01-07,1997-01-24,LONG,753.2302,770.5198,53.96,932.07,17
1997-01-24,1997-01-30,SHORT,770.5198,784.1702,-52.42,-716.38,6
1997-01-30,1997-02-27,LONG,784.1702,795.0698,52.01,566.08,28
1997-02-27,1997-03-05,SHORT,795.0698,801.9902,-52.48,-363.99,6
1997-03-05,1997-03-13,LONG,801.9902,789.5598,54.46,-677.78,8
1997-03-13,1997-04-29,SHORT,789.5598,794.0502,-50.98,-229.75,47
1997-04-29,1997-06-23,LONG,794.0502,878.6198,44.4,3754.2,55
1997-06-23,1997-06-24,SHORT,878.6198,896.3402,-52.16,-925.28,1
1997-06-24,1997-06-25,LONG,896.3402,888.9898,47.71,-351.51,1
1997-06-25,1997-07-01,SHORT,888.9898,891.0302,-44.23,-91.04,6
1997-07-01,1997-07-21,LONG,891.0302,912.9398,41.42,906.63,20
1997-07-21,1997-07-22,SHORT,912.9398,933.9802,-42.65,-898.08,1
1997-07-22,1997-08-08,LONG,933.9802,933.5398,39.4,-18.09,17
1997-08-08,1997-08-20,SHORT,933.5398,939.3502,-40.08,-233.64,12
1997-08-20,1997-08-21,LONG,939.3502,925.0498,32.28,-462.23,1
1997-08-21,1997-09-09,SHORT,925.0498,933.6202,-31.87,-273.7,19
1997-09-09,1997-09-10,LONG,933.6202,919.0298,35.27,-515.3,1
1997-09-10,1997-09-16,SHORT,919.0298,945.6402,-35.07,-934.01,6
1997-09-16,1997-10-16,LONG,945.6402,955.2498,33.06,317.05,30
1997-10-16,1997-10-21,SHORT,955.2498,972.2802,-43.5,-741.62,5
1997-10-21,1997-10-23,LONG,972.2802,950.6898,37.16,-803.04,2
1997-10-23,1997-11-17,SHORT,950.6898,946.2002,-36.18,161.76,25
1997-11-17,1997-11-18,LONG,946.2002,938.2298,29.55,-236.08,1
1997-11-18,1997-11-20,SHORT,938.2298,958.9802,-30.98,-643.47,2
1997-11-20,1997-12-11,LONG,958.9802,954.9398,31.67,-128.56,21
1997-12-11,1997-12-15,SHORT,954.9398,963.3902,-40.46,-342.7,4
1997-12-15,1997-12-18,LONG,963.3902,955.2998,40.54,-328.8,3
1997-12-18,1997-12-30,SHORT,955.2998,970.8402,-37.72,-586.9,12
1997-12-30,1998-01-08,LONG,970.8402,956.0498,32.89,-487.03,9
1998-01-08,1998-01-16,SHORT,956.0498,961.5102,-34.38,-188.38,8
1998-01-16,1998-01-23,LONG,961.5102,957.5898,31.52,-124.19,7
1998-01-23,1998-01-27,SHORT,957.5898,969.0202,-30.4,-348.07,4
1998-01-27,1998-03-05,LONG,969.0202,1035.0498,30.61,2020.23,37
1998-03-05,1998-03-06,SHORT,1035.0498,1055.6901,-49.79,-1028.72,1
1998-03-06,1998-03-30,LONG,1055.6901,1093.5998,44.54,1687.5,24
1998-03-30,1998-03-31,SHORT,1093.5998,1101.7502,-48.7,-397.96,1
1998-03-31,1998-04-08,LONG,1101.7502,1101.6498,44.73,-5.48,8
1998-04-08,1998-04-09,SHORT,1101.6498,1110.6702,-37.41,-338.3,1
1998-04-09,1998-04-24,LONG,1110.6702,1107.8998,37.67,-105.19,15
1998-04-24,1998-04-30,SHORT,1107.8998,1111.7502,-40.89,-158.34,6
1998-04-30,1998-05-06,LONG,1111.7502,1104.9198,34.69,-237.69,6
1998-05-06,1998-05-12,SHORT,1104.9198,1115.7902,-33.7,-367.11,6
1998-05-12,1998-05-15,LONG,1115.7902,1108.7298,31.13,-220.49,3
1998-05-15,1998-05-19,SHORT,1108.7298,1109.5202,-36.53,-29.69,4
1998-05-19,1998-05-26,LONG,1109.5202,1094.0198,37.75,-586.03,7
1998-05-26,1998-06-05,SHORT,1094.0198,1113.8602,-36.74,-729.75,10
1998-06-05,1998-06-11,LONG,1113.8602,1094.5798,32.9,-635.03,6
1998-06-11,1998-06-23,SHORT,1094.5798,1119.4902,-31.96,-796.78,12
1998-06-23,1998-07-21,LONG,1119.4902,1165.0697,30.34,1381.98,28
1998-07-21,1998-09-23,SHORT,1165.0697,1066.0902,-40.33,3991.4,64
1998-09-23,1998-09-24,LONG,1066.0902,1042.7198,17.47,-408.56,1
1998-09-24,1998-10-15,SHORT,1042.7198,1047.4902,-16.88,-80.86,21
1998-10-15,1998-10-27,LONG,1047.4902,1065.3398,15.11,269.43,12
1998-10-27,1998-10-28,SHORT,1065.3398,1068.0902,-20.51,-56.84,1
1998-10-28,1998-11-12,LONG,1068.0902,1117.6897,22.86,1133.57,15
1998-11-12,1998-11-13,SHORT,1117.6897,1125.7202,-30.57,-246.14,1
1998-11-13,1998-11-30,LONG,1125.7202,1163.6298,30.97,1173.34,17
1998-11-30,1998-12-01,SHORT,1163.6298,1175.2802,-35.02,-408.8,1
1998-12-01,1998-12-02,LONG,1175.2802,1171.2498,32.72,-132.62,1
1998-12-02,1998-12-04,SHORT,1171.2498,1176.7402,-32.88,-181.29,2
1998-12-04,1998-12-10,LONG,1176.7402,1165.0198,28.3,-332.32,6
1998-12-10,1998-12-17,SHORT,1165.0198,1179.9802,-27.61,-413.73,7
1998-12-17,1999-01-12,LONG,1179.9802,1239.5098,23.96,1425.47,26
1999-01-12,1999-01-19,SHORT,1239.5098,1252.0002,-26.5,-331.61,7
1999-01-19,1999-01-21,LONG,1252.0002,1235.1598,21.4,-360.95,2
1999-01-21,1999-01-26,SHORT,1235.1598,1252.3103,-20.53,-352.57,5
1999-01-26,1999-01-27,LONG,1252.3103,1243.1698,20.94,-191.89,1
1999-01-27,1999-01-28,SHORT,1243.1698,1265.3702,-21.42,-475.98,1
1999-01-28,1999-02-04,LONG,1265.3702,1248.4898,20.75,-350.83,7
1999-02-04,1999-02-11,SHORT,1248.4898,1254.0402,-22.52,-125.59,7
1999-02-11,1999-02-12,LONG,1254.0402,1230.1298,23.0,-550.4,1
1999-02-12,1999-02-22,SHORT,1230.1298,1272.1402,-21.82,-917.41,10
1999-02-22,1999-02-25,LONG,1272.1402,1245.0198,20.43,-554.63,3
1999-02-25,1999-03-05,SHORT,1245.0198,1275.4702,-19.9,-606.47,8
1999-03-05,1999-03-23,LONG,1275.4702,1262.1398,20.3,-271.13,18
1999-03-23,1999-03-29,SHORT,1262.1398,1310.1702,-25.02,-1202.62,6
1999-03-29,1999-03-31,LONG,1310.1702,1286.3698,25.01,-595.94,2
1999-03-31,1999-04-05,SHORT,1286.3698,1321.1202,-23.84,-829.0,5
1999-04-05,1999-04-16,LONG,1321.1202,1318.9998,22.97,-49.3,11
1999-04-16,1999-04-21,SHORT,1318.9998,1336.1202,-21.64,-371.07,5
1999-04-21,1999-05-21,LONG,1336.1202,1330.2898,18.94,-110.91,30
1999-05-21,1999-06-04,SHORT,1330.2898,1327.7502,-21.32,53.58,14
1999-06-04,1999-06-08,LONG,1327.7502,1317.3298,21.0,-219.34,4
1999-06-08,1999-06-16,SHORT,1317.3298,1330.4102,-21.55,-282.51,8
1999-06-16,1999-06-24,LONG,1330.4102,1315.7798,22.53,-330.28,8
1999-06-24,1999-06-28,SHORT,1315.7798,1331.3502,-25.31,-394.72,4
1999-06-28,1999-07-20,LONG,1331.3502,1377.0998,24.93,1139.87,22
1999-07-20,1999-08-17,SHORT,1377.0998,1344.1602,-27.27,897.58,28
1999-08-17,1999-08-18,LONG,1344.1602,1332.8398,20.98,-238.02,1
1999-08-18,1999-08-23,SHORT,1332.8398,1360.2202,-22.44,-614.9,5
1999-08-23,1999-08-27,LONG,1360.2202,1348.2698,23.01,-275.62,4
1999-08-27,1999-09-03,SHORT,1348.2698,1357.2402,-23.32,-209.86,7
1999-09-03,1999-09-07,LONG,1357.2402,1350.4498,21.46,-146.32,4
1999-09-07,1999-10-06,SHORT,1350.4498,1325.4002,-21.69,542.83,29
1999-10-06,1999-10-07,LONG,1325.4002,1317.6398,19.88,-154.84,1
1999-10-07,1999-10-08,SHORT,1317.6398,1336.0202,-20.18,-371.45,1
1999-10-08,1999-10-12,LONG,1336.0202,1313.0398,19.06,-438.57,4
1999-10-12,1999-10-28,SHORT,1313.0398,1342.4401,-20.34,-598.61,16
1999-10-28,1999-11-30,LONG,1342.4401,1388.9098,18.03,837.2,33
1999-11-30,1999-12-02,SHORT,1388.9098,1409.0402,-28.02,-564.85,2
1999-12-02,1999-12-14,LONG,1409.0402,1403.1698,28.49,-168.04,12
1999-12-14,1999-12-15,SHORT,1403.1698,1413.3302,-25.43,-259.07,1
1999-12-15,2000-01-03,LONG,1413.3302,1455.2198,25.28,1058.43,19
2000-01-03,2000-01-10,SHORT,1455.2198,1457.6002,-26.36,-63.52,7
2000-01-10,2000-01-11,LONG,1457.6002,1438.5599,18.94,-361.12,1
2000-01-11,2000-01-14,SHORT,1438.5599,1465.1502,-18.72,-498.21,3
2000-01-14,2000-01-20,LONG,1465.1502,1445.5697,17.95,-352.05,6
2000-01-20,2000-02-08,SHORT,1445.5697,1441.7202,-16.74,63.97,19
2000-02-08,2000-02-09,LONG,1441.7202,1411.7098,15.83,-475.44,1
2000-02-09,2000-03-16,SHORT,1411.7098,1458.4702,-15.51,-725.94,36
2000-03-16,2000-03-30,LONG,1458.4702,1487.9198,13.18,387.74,14
2000-03-30,2000-03-31,SHORT,1487.9198,1498.5802,-13.11,-140.2,1
2000-03-31,2000-04-05,LONG,1498.5802,1487.3698,13.04,-146.58,5
2000-04-05,2000-04-06,SHORT,1487.3698,1501.3402,-12.6,-176.47,1
2000-04-06,2000-04-12,LONG,1501.3402,1467.1698,12.57,-429.87,6
2000-04-12,2000-04-25,SHORT,1467.1698,1477.4401,-12.97,-133.61,13
2000-04-25,2000-04-26,LONG,1477.4401,1460.9898,11.81,-194.63,1
2000-04-26,2000-05-16,SHORT,1460.9898,1466.0402,-11.84,-60.16,20
2000-05-16,2000-05-17,LONG,1466.0402,1447.7998,15.38,-280.97,1
2000-05-17,2000-06-02,SHORT,1447.7998,1477.2602,-15.73,-463.9,16
2000-06-02,2000-06-06,LONG,1477.2602,1457.8398,13.77,-267.84,4
2000-06-06,2000-06-07,SHORT,1457.8398,1471.3602,-14.61,-197.97,1
2000-06-07,2000-06-08,LONG,1471.3602,1461.6698,14.75,-143.35,1
2000-06-08,2000-06-13,SHORT,1461.6698,1469.4401,-14.81,-115.5,5
2000-06-13,2000-06-22,LONG,1469.4401,1452.1799,16.65,-287.88,9
2000-06-22,2000-07-03,SHORT,1452.1799,1469.5402,-21.4,-372.13,11
2000-07-03,2000-07-05,LONG,1469.5402,1446.2298,21.76,-507.81,2
2000-07-05,2000-07-07,SHORT,1446.2298,1478.9002,-20.77,-679.14,2
2000-07-07,2000-07-21,LONG,1478.9002,1480.1897,19.78,24.91,14
2000-07-21,2000-08-07,SHORT,1480.1897,1479.3201,-22.89,19.23,17
2000-08-07,2000-08-10,LONG,1479.3201,1460.2498,20.48,-391.19,3
2000-08-10,2000-08-11,SHORT,1460.2498,1471.8402,-20.9,-242.85,1
2000-08-11,2000-09-06,LONG,1471.8402,1492.2498,20.79,423.79,26
2000-09-06,2000-09-07,SHORT,1492.2498,1502.5102,-28.97,-298.16,1
2000-09-07,2000-09-08,LONG,1502.5102,1494.4998,29.82,-239.76,1
2000-09-08,2000-10-31,SHORT,1494.4998,1429.4002,-29.41,1913.53,53
2000-10-31,2000-11-08,LONG,1429.4002,1409.2798,12.46,-251.1,8
2000-11-08,2001-01-24,SHORT,1409.2798,1364.3002,-18.13,814.98,77
2001-01-24,2001-01-25,LONG,1364.3002,1357.5098,19.47,-132.76,1
2001-01-25,2001-01-29,SHORT,1357.5098,1364.1702,-19.99,-133.7,4
2001-01-29,2001-02-02,LONG,1364.1702,1349.4698,22.37,-329.47,4
2001-02-02,2001-04-18,SHORT,1349.4698,1238.1602,-22.9,2548.68,75
2001-04-18,2001-04-23,LONG,1238.1602,1224.3598,14.15,-195.63,5
2001-04-23,2001-04-26,SHORT,1224.3598,1234.5202,-14.5,-147.68,3
2001-04-26,2001-05-11,LONG,1234.5202,1245.6698,16.45,183.04,15
2001-05-11,2001-05-14,SHORT,1245.6698,1248.9202,-21.22,-69.51,3
2001-05-14,2001-05-29,LONG,1248.9202,1267.9299,22.46,426.46,15
2001-05-29,2001-06-05,SHORT,1267.9299,1283.5701,-26.04,-407.89,7
2001-06-05,2001-06-06,LONG,1283.5701,1270.0298,24.12,-327.2,1
2001-06-06,2001-06-07,SHORT,1270.0298,1276.9602,-27.11,-188.56,1
2001-06-07,2001-06-08,LONG,1276.9602,1264.9598,27.27,-327.98,1
2001-06-08,2001-10-02,SHORT,1264.9598,1051.3302,-26.43,5644.68,116
2001-10-02,2001-10-09,LONG,1051.3302,1056.7498,16.01,86.44,7
2001-10-09,2001-10-10,SHORT,1056.7498,1080.9902,-20.14,-488.65,1
2001-10-10,2001-10-17,LONG,1080.9902,1077.0898,20.21,-79.25,7
2001-10-17,2001-10-22,SHORT,1077.0898,1089.9002,-22.93,-294.21,5
2001-10-22,2001-10-29,LONG,1089.9002,1078.2998,23.01,-267.44,7
2001-10-29,2001-11-01,SHORT,1078.2998,1084.1002,-22.0,-128.1,3
2001-11-01,2001-11-28,LONG,1084.1002,1128.5198,21.9,972.33,27
2001-11-28,2001-12-04,SHORT,1128.5198,1144.8002,-28.59,-466.18,6
2001-12-04,2001-12-10,LONG,1144.8002,1139.9299,31.92,-156.17,6
2001-12-10,2001-12-19,SHORT,1139.9299,1149.5603,-29.08,-280.69,9
2001-12-19,2001-12-20,LONG,1149.5603,1139.9299,29.05,-280.46,1
2001-12-20,2001-12-21,SHORT,1139.9299,1144.8902,-28.46,-141.85,1
2001-12-21,2002-01-11,LONG,1144.8902,1145.5998,29.23,20.07,21
2002-01-11,2002-03-04,SHORT,1145.5998,1153.8402,-37.99,-313.94,52
2002-03-04,2002-03-13,LONG,1153.8402,1154.0898,24.51,5.55,9
2002-03-13,2002-03-15,SHORT,1154.0898,1166.1602,-25.37,-306.84,2
2002-03-15,2002-03-20,LONG,1166.1602,1151.8498,27.79,-398.26,5
2002-03-20,2002-07-31,SHORT,1151.8498,911.6202,-28.72,6899.68,133
2002-07-31,2002-08-01,LONG,911.6202,884.6598,14.13,-381.26,1
2002-08-01,2002-08-08,SHORT,884.6598,905.4602,-13.83,-287.85,7
2002-08-08,2002-08-13,LONG,905.4602,884.2098,14.02,-298.1,5
2002-08-13,2002-08-14,SHORT,884.2098,919.6202,-16.53,-585.8,1
2002-08-14,2002-08-28,LONG,919.6202,917.8698,16.18,-28.62,14
2002-08-28,2002-10-15,SHORT,917.8698,881.2702,-20.56,751.96,48
2002-10-15,2002-10-16,LONG,881.2702,860.0198,16.69,-355.0,1
2002-10-16,2002-10-17,SHORT,860.0198,879.2002,-16.3,-312.92,1
2002-10-17,2002-10-29,LONG,879.2002,882.1498,16.36,47.96,12
2002-10-29,2002-10-30,SHORT,882.1498,890.7102,-18.35,-157.43,1
2002-10-30,2002-11-11,LONG,890.7102,876.1898,19.5,-283.56,12
2002-11-11,2002-11-14,SHORT,876.1898,904.2702,-22.58,-634.54,3
2002-11-14,2002-12-05,LONG,904.2702,906.5498,22.95,51.91,21
2002-12-05,2002-12-06,SHORT,906.5498,912.2302,-27.74,-158.07,1
2002-12-06,2002-12-09,LONG,912.2302,891.9998,27.15,-549.79,3
2002-12-09,2002-12-16,SHORT,891.9998,910.4002,-26.57,-489.34,7
2002-12-16,2002-12-17,LONG,910.4002,902.9898,26.9,-199.85,1
2002-12-17,2003-01-02,SHORT,902.9898,909.0302,-28.17,-170.69,16
2003-01-02,2003-01-08,LONG,909.0302,909.9298,31.36,27.64,6
2003-01-08,2003-01-09,SHORT,909.9298,927.5702,-31.07,-548.7,1
2003-01-09,2003-01-16,LONG,927.5702,914.5998,30.41,-395.03,7
2003-01-16,2003-03-19,SHORT,914.5998,874.0202,-29.71,1205.1,62
2003-03-19,2003-03-24,LONG,874.0202,864.2298,27.56,-270.29,5
2003-03-24,2003-03-25,SHORT,864.2298,874.7402,-24.18,-254.61,1
2003-03-25,2003-03-26,LONG,874.7402,869.9498,23.55,-113.21,1
2003-03-26,2003-04-02,SHORT,869.9498,880.9002,-23.58,-258.59,7
2003-04-02,2003-04-09,LONG,880.9002,865.9898,24.72,-369.0,7
2003-04-09,2003-04-14,SHORT,865.9898,885.2302,-26.5,-510.41,5
2003-04-14,2003-05-20,LONG,885.2302,919.7298,29.83,1028.49,36
2003-05-20,2003-05-21,SHORT,919.7298,923.4202,-34.15,-126.67,1
2003-05-21,2003-06-23,LONG,923.4202,981.6398,35.61,2072.6,33
2003-06-23,2003-07-02,SHORT,981.6398,993.7502,-31.78,-385.5,9
2003-07-02,2003-07-03,LONG,993.7502,985.6998,32.73,-264.1,1
2003-07-03,2003-07-07,SHORT,985.6998,1004.4202,-33.47,-627.32,4
2003-07-07,2003-07-10,LONG,1004.4202,988.6998,33.66,-529.86,3
2003-07-10,2003-07-11,SHORT,988.6998,998.1402,-32.77,-309.98,1
2003-07-11,2003-07-17,LONG,998.1402,981.7298,32.09,-527.26,6
2003-07-17,2003-07-18,SHORT,981.7298,993.3202,-31.38,-364.35,1
2003-07-18,2003-07-21,LONG,993.3202,978.7998,31.58,-459.11,3
2003-07-21,2003-07-25,SHORT,978.7998,998.6802,-30.25,-602.01,4
2003-07-25,2003-07-29,LONG,998.6802,989.2798,30.17,-284.18,4
2003-07-29,2003-08-18,SHORT,989.2798,999.7402,-30.2,-316.49,20
2003-08-18,2003-08-22,LONG,999.7402,993.0598,37.6,-251.91,4
2003-08-22,2003-08-28,SHORT,993.0598,1002.8402,-40.08,-392.85,6
2003-08-28,2003-09-10,LONG,1002.8402,1010.9198,43.58,351.22,13
2003-09-10,2003-09-11,SHORT,1010.9198,1016.4202,-40.42,-223.13,1
2003-09-11,2003-09-15,LONG,1016.4202,1014.8098,40.38,-65.84,4
2003-09-15,2003-09-16,SHORT,1014.8098,1029.3201,-42.01,-610.51,1
2003-09-16,2003-09-24,LONG,1029.3201,1009.3798,41.58,-830.02,8
2003-09-24,2003-10-01,SHORT,1009.3798,1018.2202,-36.43,-322.83,7
2003-10-01,2003-10-22,LONG,1018.2202,1030.3598,33.44,405.23,21
2003-10-22,2003-10-28,SHORT,1030.3598,1046.7902,-39.16,-644.22,6
2003-10-28,2003-11-17,LONG,1046.7902,1043.6298,38.61,-122.84,20
2003-11-17,2003-11-24,SHORT,1043.6298,1052.0802,-44.71,-378.79,7
2003-11-24,2004-01-13,LONG,1052.0802,1121.2198,38.46,2658.25,50
2004-01-13,2004-01-14,SHORT,1121.2198,1130.5202,-51.82,-483.13,1
2004-01-14,2004-01-28,LONG,1130.5202,1128.4798,49.73,-102.6,14
2004-01-28,2004-01-29,SHORT,1128.4798,1134.1102,-38.2,-215.97,1
2004-01-29,2004-01-30,LONG,1134.1102,1131.1298,36.96,-110.98,1
2004-01-30,2004-02-02,SHORT,1131.1298,1135.2602,-37.96,-157.66,3
2004-02-02,2004-02-04,LONG,1135.2602,1126.5198,36.17,-316.99,2
2004-02-04,2004-02-06,SHORT,1126.5198,1142.7602,-37.38,-607.87,2
2004-02-06,2004-02-24,LONG,1142.7602,1139.0898,36.94,-136.41,18
2004-02-24,2004-02-25,SHORT,1139.0898,1143.6702,-41.2,-189.65,1
2004-02-25,2004-03-09,LONG,1143.6702,1140.5798,42.57,-132.53,13
2004-03-09,2004-04-01,SHORT,1140.5798,1132.1702,-42.59,357.19,23
2004-04-01,2004-04-07,LONG,1132.1702,1140.5298,33.16,276.43,6
2004-04-07,2004-04-12,SHORT,1140.5298,1145.2002,-36.72,-172.35,5
2004-04-12,2004-04-13,LONG,1145.2002,1129.4397,39.24,-619.36,1
2004-04-13,2004-04-22,SHORT,1129.4397,1139.9303,-36.55,-384.21,9
2004-04-22,2004-04-26,LONG,1139.9303,1135.5298,34.45,-152.36,4
2004-04-26,2004-05-27,SHORT,1135.5298,1121.2802,-34.85,495.77,31
2004-05-27,2004-06-03,LONG,1121.2802,1116.6398,32.53,-151.68,7
2004-06-03,2004-06-04,SHORT,1116.6398,1122.5002,-38.24,-224.98,1
2004-06-04,2004-06-14,LONG,1122.5002,1125.2898,38.47,106.45,10
2004-06-14,2004-06-15,SHORT,1125.2898,1132.0102,-40.13,-270.56,1
2004-06-15,2004-06-21,LONG,1132.0102,1130.2998,39.32,-68.14,6
2004-06-21,2004-06-22,SHORT,1130.2998,1134.4102,-43.49,-179.76,1
2004-06-22,2004-07-01,LONG,1134.4102,1128.9397,42.99,-236.15,9
2004-07-01,2004-08-25,SHORT,1128.9397,1104.9602,-41.2,986.98,55
2004-08-25,2004-08-30,LONG,1104.9602,1099.1498,37.86,-220.81,5
2004-08-30,2004-09-01,SHORT,1099.1498,1105.9102,-43.18,-292.85,2
2004-09-01,2004-09-22,LONG,1105.9102,1113.5599,45.16,344.45,21
2004-09-22,2004-10-01,SHORT,1113.5599,1131.5002,-48.55,-872.17,9
2004-10-01,2004-10-12,LONG,1131.5002,1121.8398,49.48,-479.06,11
2004-10-12,2004-10-27,SHORT,1121.8398,1125.4002,-48.87,-175.11,15
2004-10-27,2004-11-16,LONG,1125.4002,1175.4299,34.98,1749.39,20
2004-11-16,2004-11-17,SHORT,1175.4299,1181.9401,-43.6,-284.87,1
2004-11-17,2004-11-19,LONG,1181.9401,1170.3398,42.53,-494.4,2
2004-11-19,2004-11-24,SHORT,1170.3398,1181.7602,-40.28,-460.96,5
2004-11-24,2004-11-30,LONG,1181.7602,1173.8197,48.19,-383.81,6
2004-11-30,2004-12-01,SHORT,1173.8197,1191.3702,-46.52,-817.52,1
2004-12-01,2004-12-07,LONG,1191.3702,1177.0697,42.41,-607.48,6
2004-12-07,2004-12-08,SHORT,1177.0697,1182.8103,-41.37,-238.46,1
2004-12-08,2005-01-04,LONG,1182.8103,1188.0498,43.12,224.93,27
2005-01-04,2005-01-18,SHORT,1188.0498,1195.9802,-45.09,-358.63,14
2005-01-18,2005-01-19,LONG,1195.9802,1184.6298,39.65,-451.0,1
2005-01-19,2005-02-02,SHORT,1184.6298,1193.1901,-37.2,-319.35,14
2005-02-02,2005-02-03,LONG,1193.1901,1189.8898,40.42,-134.36,1
2005-02-03,2005-02-04,SHORT,1189.8898,1203.0302,-41.64,-548.13,1
